METRIC_VALUE; Solution number; Total time; Search time; Actions; Duration; Plan quality; Total Num Flips
266.18; 1; 0.17; 0.17; 248; 59.184; 266.184; 508
243.37; 1; 0.14; 0.12; 228; 40.374; 243.374; 447
251.20; 1; 0.15; 0.15; 247; 44.199; 251.199; 519
238.17; 1; 109.25; 109.24; 223; 40.175; 238.175; 10637
280.32; 1; 0.65; 0.65; 274; 45.322; 280.322; 540
213.25; 1; 1.71; 1.71; 197; 41.247; 213.247; 1043
187.32; 1; 22.67; 22.67; 176; 32.322; 187.322; 6910
177.12; 1; 1.11; 1.09; 164; 35.122; 177.122; 1581
224.16; 1; 0.14; 0.14; 207; 44.157; 224.157; 466
183.13; 1; 0.63; 0.61; 173; 36.131; 183.131; 887
215.15; 1; 0.09; 0.09; 201; 41.151; 215.151; 368
253.29; 1; 0.19; 0.17; 244; 43.288; 253.292; 464
239.18; 1; 1.38; 1.38; 226; 34.182; 239.182; 2663
236.27; 1; 3.68; 3.67; 223; 43.274; 236.274; 2393
250.18; 1; 0.13; 0.13; 237; 52.179; 250.179; 507
320.24; 1; 3.24; 3.24; 306; 64.236; 320.236; 1918
196.23; 1; 0.10; 0.10; 178; 37.235; 196.235; 387
210.16; 1; 0.13; 0.13; 201; 34.161; 210.161; 371
178.33; 1; 0.09; 0.09; 171; 37.326; 178.326; 352
314.34; 1; 0.55; 0.55; 307; 62.337; 314.337; 1177
255.20; 1; 0.17; 0.15; 248; 42.200; 255.200; 541
274.30; 1; 0.48; 0.48; 263; 48.301; 274.301; 1168
202.34; 1; 0.10; 0.10; 196; 38.345; 202.345; 383
214.17; 1; 0.54; 0.54; 216; 39.170; 214.170; 986
226.27; 1; 0.15; 0.15; 224; 43.273; 226.273; 515
195.33; 1; 0.40; 0.40; 182; 39.327; 195.327; 930
200.24; 1; 1.23; 1.22; 183; 36.238; 200.238; 2316
257.39; 1; 0.15; 0.15; 251; 47.391; 257.391; 524
221.16; 1; 2.35; 2.35; 210; 44.158; 221.158; 1800
192.23; 1; 0.37; 0.37; 176; 39.229; 192.229; 940
262.19; 1; 0.15; 0.15; 244; 53.186; 262.186; 538
233.17; 1; 2.00; 2.00; 217; 41.169; 233.169; 1870
215.26; 1; 0.30; 0.30; 202; 38.257; 215.257; 1026
234.38; 1; 3.48; 3.48; 229; 42.376; 234.376; 2616
250.28; 1; 4.30; 4.30; 235; 42.278; 250.278; 1778
308.33; 1; 35.52; 35.52; 301; 52.318; 308.327; 5942
192.23; 1; 1.20; 1.20; 177; 34.234; 192.234; 1649
361.58; 1; 12.95; 12.95; 351; 48.579; 361.579; 2662
327.34; 1; 0.57; 0.55; 312; 60.343; 327.343; 1240
343.26; 1; 2.59; 2.59; 325; 59.261; 343.261; 1939
199.34; 1; 0.12; 0.12; 188; 38.341; 199.341; 454
217.15; 1; 0.13; 0.12; 201; 41.153; 217.153; 450
218.25; 1; 7.58; 7.58; 202; 42.253; 218.253; 1738
218.26; 1; 0.14; 0.12; 211; 36.260; 218.265; 467
240.37; 1; 1.26; 1.25; 222; 45.367; 240.367; 1025
221.26; 1; 2.04; 2.04; 212; 41.263; 221.263; 1660
216.17; 1; 0.13; 0.13; 212; 38.163; 216.168; 466
233.26; 1; 2.48; 2.48; 231; 52.258; 233.258; 1035
270.30; 1; 0.18; 0.16; 255; 45.301; 270.301; 518
234.27; 1; 2.64; 2.64; 222; 46.264; 234.267; 2530
256.19; 1; 0.30; 0.30; 239; 44.189; 256.189; 1074
228.26; 1; 1.26; 1.26; 216; 42.261; 228.264; 1646
261.29; 1; 0.47; 0.47; 253; 52.293; 261.293; 1110
220.26; 1; 7.83; 7.81; 204; 39.256; 220.256; 2456
259.30; 1; 0.19; 0.19; 255; 45.297; 259.303; 525
269.31; 1; 0.48; 0.48; 259; 45.300; 269.306; 1055
273.19; 1; 0.18; 0.16; 259; 60.191; 273.193; 536
246.19; 1; 0.17; 0.15; 236; 41.188; 246.188; 552
235.27; 1; 6.46; 6.45; 222; 40.266; 235.266; 3376
205.26; 1; 10.07; 10.07; 200; 33.255; 205.256; 2399
163.21; 1; 0.06; 0.05; 155; 34.214; 163.214; 232
225.27; 1; 1.15; 1.13; 226; 38.270; 225.270; 1240
229.36; 1; 0.12; 0.12; 216; 37.360; 229.360; 404
206.25; 1; 0.16; 0.14; 198; 40.251; 206.251; 445
