METRIC_VALUE; Solution number; Total time; Search time; Actions; Duration; Plan quality; Total Num Flips
199.16; 1; 0.31; 0.31; 206; 39.150; 199.160; 931
186.23; 1; 0.08; 0.08; 172; 35.228; 186.228; 342
208.25; 1; 10.71; 10.71; 194; 37.248; 208.248; 4442
215.25; 1; 3.04; 3.04; 198; 40.249; 215.249; 1784
263.19; 1; 1.47; 1.45; 248; 46.194; 263.194; 1178
272.39; 1; 0.25; 0.25; 258; 43.393; 272.393; 513
207.15; 1; 2.91; 2.90; 200; 38.154; 207.154; 2512
212.16; 1; 2.50; 2.50; 209; 41.161; 212.161; 1000
194.14; 1; 0.10; 0.09; 185; 37.143; 194.143; 387
283.22; 1; 0.28; 0.28; 284; 60.216; 283.216; 573
222.28; 1; 0.45; 0.45; 224; 36.279; 222.279; 1051
254.30; 1; 0.21; 0.21; 246; 42.297; 254.297; 507
218.17; 1; 0.12; 0.10; 213; 37.158; 218.169; 410
219.36; 1; 4.12; 4.12; 210; 38.360; 219.360; 1108
228.26; 1; 0.15; 0.14; 211; 45.259; 228.260; 515
197.23; 1; 0.43; 0.43; 181; 37.233; 197.233; 963
203.34; 1; 2.18; 2.16; 194; 38.337; 203.337; 986
213.25; 1; 0.43; 0.43; 197; 41.247; 213.247; 958
206.16; 1; 4.00; 3.98; 203; 41.157; 206.157; 1677
274.42; 1; 0.56; 0.56; 270; 42.410; 274.417; 1186
214.15; 1; 0.11; 0.11; 200; 39.154; 214.154; 426
203.34; 1; 9.92; 9.92; 186; 38.337; 203.337; 3272
236.29; 1; 0.15; 0.15; 241; 39.273; 236.289; 463
281.30; 1; 0.20; 0.19; 267; 47.300; 281.300; 567
322.26; 1; 14.82; 14.80; 322; 58.242; 322.256; 4691
230.25; 1; 1.86; 1.86; 213; 52.254; 230.254; 1071
189.15; 1; 1.22; 1.22; 190; 36.148; 189.148; 1025
194.13; 1; 1.66; 1.65; 178; 39.132; 194.132; 917
220.26; 1; 0.88; 0.86; 204; 35.261; 220.261; 1206
236.17; 1; 47.43; 47.42; 219; 40.173; 236.173; 8730
248.29; 1; 0.20; 0.19; 241; 43.287; 248.287; 457
227.27; 1; 0.65; 0.63; 214; 35.269; 227.271; 1176
195.14; 1; 0.81; 0.80; 187; 40.141; 195.141; 1578
257.29; 1; 0.17; 0.17; 241; 41.291; 257.291; 461
264.20; 1; 0.37; 0.37; 255; 42.204; 264.205; 1141
219.16; 1; 0.11; 0.11; 207; 38.163; 219.163; 462
185.13; 1; 0.10; 0.08; 170; 34.128; 185.128; 325
204.33; 1; 0.13; 0.11; 188; 35.334; 204.334; 402
248.37; 1; 1.15; 1.15; 248; 51.370; 248.370; 1785
250.18; 1; 0.21; 0.20; 234; 44.184; 250.184; 491
232.27; 1; 0.75; 0.75; 223; 44.269; 232.269; 1072
238.27; 1; 0.35; 0.33; 229; 52.271; 238.271; 1074
206.25; 1; 0.10; 0.10; 192; 38.247; 206.247; 376
267.21; 1; 0.31; 0.29; 254; 39.206; 267.206; 531
216.26; 1; 0.23; 0.23; 200; 35.256; 216.256; 481
272.29; 1; 6.88; 6.88; 254; 55.293; 272.293; 1888
185.22; 1; 4.50; 4.50; 168; 36.224; 185.224; 3188
269.30; 1; 3.34; 3.34; 256; 44.303; 269.303; 4556
241.26; 1; 0.16; 0.16; 223; 55.261; 241.261; 498
216.25; 1; 0.12; 0.12; 200; 39.252; 216.252; 455
192.33; 1; 11.17; 11.16; 178; 29.334; 192.334; 3325
225.35; 1; 0.83; 0.83; 215; 38.355; 225.355; 552
265.30; 1; 0.69; 0.68; 254; 43.302; 265.302; 1174
204.15; 1; 0.10; 0.10; 188; 35.146; 204.146; 422
246.28; 1; 0.17; 0.17; 233; 45.281; 246.281; 511
223.36; 1; 0.18; 0.17; 209; 35.362; 223.362; 480
270.20; 1; 0.58; 0.58; 254; 45.202; 270.202; 503
231.16; 1; 0.40; 0.38; 215; 43.165; 231.165; 1097
288.30; 1; 5.21; 5.21; 272; 41.305; 288.305; 2480
208.36; 1; 0.18; 0.18; 201; 37.356; 208.356; 515
289.41; 1; 1.46; 1.45; 284; 62.412; 289.412; 1906
207.15; 1; 2.03; 2.03; 199; 40.153; 207.153; 1671
203.14; 1; 0.15; 0.15; 186; 36.144; 203.144; 434
262.29; 1; 1.19; 1.17; 253; 46.295; 262.295; 1069
251.28; 1; 0.87; 0.87; 240; 43.280; 251.280; 1817
196.33; 1; 0.11; 0.11; 180; 37.331; 196.331; 427
204.16; 1; 0.57; 0.57; 202; 38.143; 204.156; 1040
232.37; 1; 0.17; 0.15; 214; 39.367; 232.367; 495
253.29; 1; 0.75; 0.75; 238; 38.290; 253.290; 1100
188.34; 1; 0.38; 0.38; 187; 33.338; 188.341; 1104
230.16; 1; 2.62; 2.60; 212; 45.162; 230.162; 1696
199.34; 1; 0.12; 0.11; 191; 36.344; 199.344; 420
203.25; 1; 0.15; 0.14; 192; 35.248; 203.248; 377
186.13; 1; 0.28; 0.28; 171; 34.129; 186.129; 939
236.17; 1; 1.01; 0.99; 220; 39.174; 236.174; 514
209.25; 1; 0.13; 0.11; 213; 38.238; 209.253; 434
235.37; 1; 0.20; 0.20; 221; 41.368; 235.368; 539
211.15; 1; 0.17; 0.15; 194; 34.154; 211.154; 394
234.17; 1; 0.67; 0.65; 216; 45.166; 234.166; 1024
213.25; 1; 0.16; 0.15; 197; 35.253; 213.253; 405
