METRIC_VALUE; Solution number; Total time; Search time; Actions; Duration; Plan quality; Total Num Flips
210.25; 1; 0.14; 0.13; 194; 37.247; 210.247; 537
202.14; 1; 1.45; 1.44; 186; 39.140; 202.140; 1013
214.15; 1; 0.57; 0.57; 207; 47.153; 214.153; 1697
249.38; 1; 1.51; 1.51; 237; 39.376; 249.376; 1857
229.27; 1; 0.79; 0.79; 213; 37.268; 229.268; 1078
167.21; 1; 0.91; 0.90; 152; 32.211; 167.211; 845
226.37; 1; 0.28; 0.28; 223; 40.374; 226.374; 526
229.18; 1; 3.31; 3.31; 223; 38.176; 229.179; 1801
238.19; 1; 0.19; 0.18; 240; 40.175; 238.194; 554
223.36; 1; 4.32; 4.32; 213; 41.354; 223.359; 4399
243.28; 1; 0.16; 0.14; 227; 38.282; 243.282; 502
209.34; 1; 0.13; 0.13; 192; 42.341; 209.341; 403
187.22; 1; 0.46; 0.44; 170; 40.222; 187.222; 872
252.29; 1; 0.20; 0.20; 239; 38.293; 252.293; 481
244.19; 1; 1.27; 1.25; 239; 41.191; 244.191; 1747
229.17; 1; 4.19; 4.19; 211; 39.167; 229.167; 3372
210.36; 1; 2.59; 2.58; 202; 37.357; 210.357; 1769
277.20; 1; 1.70; 1.70; 264; 56.202; 277.202; 1077
241.27; 1; 2.15; 2.15; 229; 46.268; 241.270; 2481
213.26; 1; 7.69; 7.69; 199; 34.256; 213.256; 2509
183.13; 1; 8.46; 8.46; 166; 34.126; 183.126; 3328
209.15; 1; 0.72; 0.72; 195; 39.147; 209.147; 1680
219.37; 1; 0.12; 0.12; 221; 34.368; 219.368; 431
199.35; 1; 0.36; 0.36; 207; 48.350; 199.350; 989
265.30; 1; 6.69; 6.69; 249; 43.297; 265.297; 3416
184.32; 1; 0.08; 0.06; 167; 36.322; 184.322; 286
218.25; 1; 0.23; 0.23; 205; 37.248; 218.251; 434
223.35; 1; 0.53; 0.53; 210; 49.353; 223.353; 988
325.33; 1; 2.33; 2.33; 314; 75.332; 325.332; 2028
259.19; 1; 3.90; 3.90; 242; 44.192; 259.192; 2639
332.37; 1; 3.10; 3.10; 326; 48.370; 332.370; 1939
217.25; 1; 4.70; 4.70; 200; 40.253; 217.253; 982
271.19; 1; 0.20; 0.20; 255; 59.189; 271.189; 522
227.26; 1; 0.13; 0.11; 212; 44.259; 227.259; 433
275.32; 1; 0.84; 0.83; 283; 48.317; 275.318; 1231
299.33; 1; 2.43; 2.43; 300; 52.328; 299.333; 1202
204.15; 1; 1.66; 1.66; 191; 38.143; 204.147; 1711
237.27; 1; 0.80; 0.80; 224; 41.273; 237.274; 1124
212.25; 1; 1.07; 1.07; 198; 36.250; 212.251; 1065
216.15; 1; 0.89; 0.89; 199; 44.149; 216.149; 1645
303.32; 1; 0.69; 0.67; 299; 73.317; 303.317; 1209
272.31; 1; 0.41; 0.41; 260; 39.310; 272.310; 560
267.21; 1; 0.27; 0.25; 252; 37.210; 267.210; 476
203.24; 1; 0.08; 0.08; 189; 39.239; 203.241; 324
200.25; 1; 1.99; 1.99; 195; 38.236; 200.248; 1566
243.28; 1; 3.55; 3.55; 237; 47.281; 243.281; 2578
248.29; 1; 8.25; 8.25; 246; 48.290; 248.290; 2618
218.26; 1; 0.67; 0.67; 209; 40.251; 218.256; 1786
