METRIC_VALUE; Solution number; Total time; Search time; Actions; Duration; Plan quality; Total Num Flips
394.10; 1; 0.02; 0.02; 50; 26.100; 394.100; 56
399.00; 1; 0.02; 0.02; 50; 31.000; 399.000; 63
504.10; 1; 0.04; 0.02; 62; 40.100; 504.100; 109
565.10; 1; 0.03; 0.03; 70; 37.100; 565.100; 109
426.00; 1; 0.04; 0.03; 54; 26.000; 426.000; 87
499.10; 1; 0.05; 0.03; 62; 35.100; 499.100; 89
380.10; 1; 0.03; 0.03; 48; 28.100; 380.100; 75
394.20; 1; 0.04; 0.02; 50; 26.200; 394.200; 88
400.00; 1; 0.02; 0.02; 50; 32.000; 400.000; 57
378.10; 1; 0.04; 0.02; 48; 26.100; 378.100; 58
382.00; 1; 0.02; 0.02; 48; 30.000; 382.000; 60
360.00; 1; 0.03; 0.01; 46; 24.000; 360.000; 51
401.20; 1; 0.03; 0.02; 50; 33.200; 401.200; 61
342.20; 1; 0.02; 0.01; 44; 22.200; 342.200; 52
424.00; 1; 0.04; 0.02; 56; 24.000; 424.000; 71
420.10; 1; 0.02; 0.02; 52; 36.100; 420.100; 68
360.20; 1; 0.02; 0.01; 46; 24.200; 360.200; 68
491.10; 1; 0.04; 0.02; 60; 43.100; 491.100; 71
378.00; 1; 0.04; 0.02; 48; 26.000; 378.000; 54
427.10; 1; 0.03; 0.03; 54; 27.100; 427.100; 66
382.20; 1; 0.02; 0.02; 48; 30.200; 382.200; 61
375.00; 1; 0.04; 0.02; 48; 23.000; 375.000; 61
428.10; 1; 0.04; 0.02; 54; 28.100; 428.100; 72
344.10; 1; 0.04; 0.02; 44; 24.100; 344.100; 48
600.10; 1; 0.05; 0.03; 74; 40.100; 600.100; 137
437.10; 1; 0.03; 0.02; 54; 37.100; 437.100; 68
473.10; 1; 0.03; 0.03; 58; 41.100; 473.100; 73
414.00; 1; 0.03; 0.02; 52; 30.000; 414.000; 63
434.00; 1; 0.03; 0.02; 54; 34.000; 434.000; 71
341.10; 1; 0.04; 0.02; 44; 21.100; 341.100; 55
358.10; 1; 0.02; 0.02; 46; 22.100; 358.100; 55
358.20; 1; 0.03; 0.03; 46; 22.200; 358.200; 61
484.10; 1; 0.05; 0.03; 60; 36.100; 484.100; 99
344.10; 1; 0.04; 0.02; 44; 24.100; 344.100; 52
394.10; 1; 0.03; 0.03; 50; 26.100; 394.100; 66
465.10; 1; 0.06; 0.03; 58; 33.100; 465.100; 82
340.10; 1; 0.04; 0.02; 44; 20.100; 340.100; 58
430.00; 1; 0.04; 0.03; 54; 30.000; 430.000; 68
378.10; 1; 0.04; 0.04; 48; 26.100; 378.100; 56
410.00; 1; 0.03; 0.03; 54; 26.000; 410.000; 59
428.00; 1; 0.04; 0.03; 54; 28.000; 428.000; 75
340.10; 1; 0.02; 0.02; 44; 20.100; 340.100; 51
382.00; 1; 0.04; 0.04; 48; 30.000; 382.000; 80
485.10; 1; 0.04; 0.02; 60; 37.100; 485.100; 71
409.10; 1; 0.02; 0.02; 52; 25.100; 409.100; 68
436.00; 1; 0.05; 0.05; 54; 36.000; 436.000; 74
408.10; 1; 0.03; 0.03; 52; 24.100; 408.100; 72
424.10; 1; 0.05; 0.03; 54; 24.100; 424.100; 77
376.20; 1; 0.03; 0.02; 48; 24.200; 376.200; 57
