METRIC_VALUE; Solution number; Total time; Search time; Actions; Duration; Plan quality; Total Num Flips
268.30; 1; 0.88; 0.88; 264; 44.297; 268.302; 1115
323.35; 1; 1.21; 1.19; 306; 52.347; 323.347; 1790
285.32; 1; 0.65; 0.64; 279; 48.321; 285.323; 1096
230.27; 1; 3.65; 3.63; 220; 40.266; 230.272; 2484
183.32; 1; 0.73; 0.73; 171; 39.321; 183.321; 929
215.16; 1; 69.58; 69.58; 201; 37.159; 215.159; 11735
206.15; 1; 1.11; 1.11; 198; 39.144; 206.152; 1653
217.15; 1; 0.09; 0.09; 203; 42.155; 217.155; 360
225.17; 1; 0.16; 0.15; 217; 43.161; 225.169; 402
175.13; 1; 1.28; 1.28; 174; 34.132; 175.132; 1525
213.16; 1; 1.21; 1.21; 208; 38.152; 213.162; 1004
190.33; 1; 0.12; 0.12; 187; 35.321; 190.331; 339
237.18; 1; 0.17; 0.17; 226; 43.176; 237.176; 520
184.32; 1; 0.09; 0.08; 170; 38.323; 184.323; 318
209.15; 1; 2.24; 2.22; 196; 40.148; 209.150; 1667
183.33; 1; 116.98; 116.98; 175; 33.327; 183.327; 8600
263.30; 1; 0.95; 0.94; 257; 47.296; 263.299; 1108
365.28; 1; 2.32; 2.32; 348; 60.282; 365.282; 2009
235.27; 1; 0.15; 0.15; 217; 43.268; 235.268; 440
373.29; 1; 1.25; 1.25; 356; 60.290; 373.290; 2028
310.42; 1; 15.66; 15.64; 304; 64.414; 310.423; 7335
194.13; 1; 0.54; 0.54; 178; 39.132; 194.132; 871
225.18; 1; 9.13; 9.13; 223; 39.172; 225.177; 4350
250.18; 1; 0.16; 0.16; 243; 58.179; 250.179; 523
311.33; 1; 0.81; 0.81; 296; 52.334; 311.334; 1193
208.24; 1; 0.66; 0.64; 192; 43.241; 208.241; 935
225.26; 1; 13.88; 13.88; 216; 43.259; 225.259; 5620
190.23; 1; 0.10; 0.08; 180; 41.233; 190.233; 313
295.33; 1; 1.74; 1.74; 287; 47.329; 295.329; 2603
230.26; 1; 0.80; 0.78; 214; 43.261; 230.261; 398
263.30; 1; 127.16; 127.15; 258; 49.300; 263.300; 14655
228.16; 1; 1.11; 1.09; 210; 41.164; 228.164; 1688
522.50; 1; 19.10; 19.09; 511; 100.497; 522.497; 6454
257.20; 1; 1.64; 1.64; 252; 44.200; 257.200; 1776
198.14; 1; 0.10; 0.10; 186; 41.138; 198.138; 369
180.22; 1; 0.46; 0.46; 163; 34.217; 180.217; 883
341.37; 1; 5.23; 5.23; 336; 63.367; 341.367; 4700
250.18; 1; 2.45; 2.43; 232; 51.176; 250.176; 2512
177.12; 1; 1.58; 1.58; 165; 35.123; 177.125; 1678
244.18; 1; 1.40; 1.39; 228; 41.180; 244.180; 1725
288.41; 1; 3.58; 3.58; 272; 55.407; 288.407; 2586
198.14; 1; 0.11; 0.11; 185; 36.143; 198.143; 357
201.23; 1; 0.10; 0.10; 184; 41.232; 201.232; 383
181.32; 1; 3.70; 3.70; 169; 38.322; 181.322; 3245
241.26; 1; 0.34; 0.34; 225; 57.259; 241.259; 991
287.31; 1; 1.08; 1.06; 280; 58.315; 287.315; 1138
511.47; 1; 25.50; 25.50; 495; 116.471; 511.471; 6332
277.40; 1; 100.74; 100.72; 263; 50.404; 277.404; 11346
