METRIC_VALUE; Solution number; Total time; Search time; Actions; Duration; Plan quality; Total Num Flips
238.27; 1; 376.94; 376.94; 224; 46.269; 238.269; 61083
206.33; 1; 175.40; 175.38; 190; 39.334; 206.334; 27195
377.37; 1; 52.46; 52.46; 366; 86.370; 377.370; 13924
190.23; 1; 195.63; 195.62; 173; 36.228; 190.228; 32715
285.20; 1; 422.84; 422.82; 268; 64.198; 285.198; 65148
210.14; 1; 413.80; 413.79; 196; 45.142; 210.142; 49105
175.12; 1; 551.83; 551.82; 164; 34.118; 175.122; 73182
264.29; 1; 91.47; 91.47; 250; 47.292; 264.292; 11852
211.34; 1; 324.92; 324.92; 197; 36.337; 211.337; 51550
223.16; 1; 48.35; 48.35; 207; 42.159; 223.159; 11029
227.25; 1; 401.22; 401.22; 213; 50.251; 227.252; 66263
261.20; 1; 411.86; 411.86; 248; 47.191; 261.196; 61124
214.15; 1; 98.44; 98.44; 201; 47.147; 214.147; 15849
386.39; 1; 334.48; 334.48; 370; 75.386; 386.386; 78271
321.23; 1; 8.15; 8.15; 306; 66.232; 321.232; 4519
340.44; 1; 74.27; 74.25; 323; 62.445; 340.445; 13662
189.23; 1; 24.07; 24.07; 175; 40.223; 189.226; 6919
182.22; 1; 212.32; 212.31; 166; 36.222; 182.222; 30637
243.28; 1; 4.30; 4.30; 232; 47.276; 243.276; 3479
283.28; 1; 436.43; 436.43; 269; 75.283; 283.283; 65129
